Time Stamp, CONC1-INST (PPM)
12/11/2014 08:51:01,      0.820
12/11/2014 08:52:01,      0.809
12/11/2014 08:53:01,      0.798
12/11/2014 08:54:01,      0.805
12/11/2014 08:55:01,      0.819
12/11/2014 08:56:01,      0.838
12/11/2014 08:57:01,      0.839
12/11/2014 08:58:01,      0.840
12/11/2014 08:59:01,      0.842
12/11/2014 09:00:01,      0.844
12/11/2014 09:01:01,      0.844
12/11/2014 09:02:01,      0.838
12/11/2014 09:03:01,      0.822
12/11/2014 09:04:01,      0.819
12/11/2014 09:05:01,      0.816
12/11/2014 09:06:01,      0.816
12/11/2014 09:07:01,      0.830
12/11/2014 09:08:01,      0.829
12/11/2014 09:09:01,      0.815
12/11/2014 09:10:01,      0.801
12/11/2014 09:11:01,      0.810
12/11/2014 09:12:01,      0.819
12/11/2014 09:13:01,      0.834
12/11/2014 09:14:01,      0.841
12/11/2014 09:15:01,      0.833
12/11/2014 09:16:01,      0.833
12/11/2014 09:17:01,      0.828
12/11/2014 09:18:01,      0.843
12/11/2014 09:19:01,      0.836
12/11/2014 09:20:01,      0.842
12/11/2014 09:21:01,      0.837
12/11/2014 09:22:01,      0.822
12/11/2014 09:23:01,      0.832
12/11/2014 09:24:01,      0.828
12/11/2014 09:25:01,      0.811
12/11/2014 09:26:01,      0.808
12/11/2014 09:27:01,      0.814
12/11/2014 09:28:01,      0.818
12/11/2014 09:29:01,      0.812
12/11/2014 09:30:01,      0.805
12/11/2014 09:31:01,      0.822
12/11/2014 09:32:01,      0.824
12/11/2014 09:33:01,      0.822
12/11/2014 09:34:01,      0.810
12/11/2014 09:35:01,      0.809
12/11/2014 09:36:01,      0.814
12/11/2014 09:37:01,      0.798
12/11/2014 09:38:01,      0.800
12/11/2014 09:39:01,      0.804
12/11/2014 09:40:01,      0.811
12/11/2014 09:41:01,      0.836
12/11/2014 09:42:01,      0.839
12/11/2014 09:43:01,      0.811
12/11/2014 09:44:01,      0.800
12/11/2014 09:45:01,      0.797
12/11/2014 09:46:01,      0.787
12/11/2014 09:47:01,      0.796
12/11/2014 09:48:01,      0.813
12/11/2014 09:49:01,      0.818
12/11/2014 09:50:01,      0.826
12/11/2014 09:51:01,      0.814
12/11/2014 09:52:01,      0.811
12/11/2014 09:53:01,      0.816
12/11/2014 09:54:01,      0.811
12/11/2014 09:55:01,      0.815
12/11/2014 09:56:01,      0.825
12/11/2014 09:57:01,      0.828
12/11/2014 09:58:01,      0.820
12/11/2014 09:59:01,      0.820
12/11/2014 10:00:02,      0.810
12/11/2014 10:01:01,      0.801
12/11/2014 10:02:01,      0.825
12/11/2014 10:03:01,      0.825
12/11/2014 10:04:01,      0.832
12/11/2014 10:05:01,      0.816
12/11/2014 10:06:01,      0.805
12/11/2014 10:07:01,      0.801
12/11/2014 10:08:01,      0.804
12/11/2014 10:09:01,      0.818
12/11/2014 10:10:01,      0.817
12/11/2014 10:11:01,      0.822
12/11/2014 10:12:01,      0.805
12/11/2014 10:13:01,      0.802
12/11/2014 10:14:01,      0.801
12/11/2014 10:15:01,      0.793
12/11/2014 10:16:01,      0.802
12/11/2014 10:17:01,      0.784
12/11/2014 10:18:01,      0.796
12/11/2014 10:19:01,      0.814
12/11/2014 10:20:01,      0.817
12/11/2014 10:21:01,      0.793
12/11/2014 10:22:01,      0.998
12/11/2014 10:23:01,     11.109
12/11/2014 10:24:01,     12.448
12/11/2014 10:25:01,     12.385
12/11/2014 10:26:01,     12.260
12/11/2014 10:27:01,     12.117
12/11/2014 10:28:01,     12.056
12/11/2014 10:29:01,     12.090
12/11/2014 10:30:01,     12.151
12/11/2014 10:31:01,     12.216
12/11/2014 10:32:01,     12.278
12/11/2014 10:33:01,     12.447
12/11/2014 10:34:01,     12.523
12/11/2014 10:35:01,     12.583
12/11/2014 10:36:01,     12.617
12/11/2014 10:37:01,     12.667
12/11/2014 10:38:01,     12.728
12/11/2014 10:39:01,     12.783
12/11/2014 10:40:01,     12.812
12/11/2014 10:41:01,     12.806
12/11/2014 10:42:01,     12.815
12/11/2014 10:43:01,     12.823
12/11/2014 10:44:01,     12.835
12/11/2014 10:45:01,     12.840
12/11/2014 10:46:01,     12.847
12/11/2014 10:47:01,     12.872
12/11/2014 10:48:01,     12.877
12/11/2014 10:49:01,     12.892
12/11/2014 10:50:01,     12.909
12/11/2014 10:51:01,     12.934
12/11/2014 10:52:01,     12.953
12/11/2014 10:53:01,     12.973
12/11/2014 10:54:01,     12.972
12/11/2014 10:55:01,     12.959
12/11/2014 10:56:01,     12.940
12/11/2014 10:57:01,     12.951
12/11/2014 10:58:01,     12.958
12/11/2014 10:59:01,     12.967
12/11/2014 11:00:01,     12.953
12/11/2014 11:01:01,     12.972
12/11/2014 11:02:01,     12.964
12/11/2014 11:03:01,     12.966
12/11/2014 11:04:01,     12.965
12/11/2014 11:05:01,     12.971
12/11/2014 11:06:01,     12.975
12/11/2014 11:07:01,     12.969
12/11/2014 11:08:01,     12.957
12/11/2014 11:09:01,     12.953
12/11/2014 11:10:01,     12.968
12/11/2014 11:11:01,     12.919
12/11/2014 11:12:01,     12.925
12/11/2014 11:13:01,     12.931
12/11/2014 11:14:01,     12.940
12/11/2014 11:15:01,     12.925
12/11/2014 11:16:01,     12.937
12/11/2014 11:17:01,     12.895
12/11/2014 11:18:01,      1.805
12/11/2014 11:19:01,      0.725
12/11/2014 11:20:01,      0.721
12/11/2014 11:21:01,      0.700
12/11/2014 11:22:01,      0.678
12/11/2014 11:23:01,      0.664
12/11/2014 11:24:01,      0.674
12/11/2014 11:25:01,      0.684
12/11/2014 11:26:01,      0.684
12/11/2014 11:27:01,      0.677
12/11/2014 11:28:01,      0.685
12/11/2014 11:29:01,      0.682
12/11/2014 11:30:01,      0.670
12/11/2014 11:31:01,      0.662
12/11/2014 11:32:01,      0.671
12/11/2014 11:33:01,      0.682
12/11/2014 11:34:01,      0.682
12/11/2014 11:35:01,      0.666
12/11/2014 11:36:01,      0.662
12/11/2014 11:37:01,      0.655
12/11/2014 11:38:01,      0.652
12/11/2014 11:39:01,      0.661
12/11/2014 11:40:01,      0.674
12/11/2014 11:41:01,      0.669
12/11/2014 11:42:01,      0.677
12/11/2014 11:43:01,      0.679
12/11/2014 11:44:01,      0.669
12/11/2014 11:45:01,      0.674
12/11/2014 11:46:01,      0.683
12/11/2014 11:47:01,      0.685
12/11/2014 11:48:01,      0.663
12/11/2014 11:49:01,      0.669
12/11/2014 11:50:01,      0.670
12/11/2014 11:51:01,      0.664
12/11/2014 11:52:01,      0.656
12/11/2014 11:53:01,      0.658
12/11/2014 11:54:01,      0.675
12/11/2014 11:55:01,      0.686
12/11/2014 11:56:01,      0.677
12/11/2014 11:57:01,      0.682
12/11/2014 11:58:01,      0.672
12/11/2014 11:59:01,      0.673
12/11/2014 12:00:02,      0.676
12/11/2014 12:01:01,      0.665
12/11/2014 12:02:01,      0.654
12/11/2014 12:03:01,      0.650
12/11/2014 12:04:01,      0.671
12/11/2014 12:05:01,      0.676
12/11/2014 12:06:01,      0.666
12/11/2014 12:07:01,      0.654
12/11/2014 12:08:01,      0.648
12/11/2014 12:09:01,      0.667
12/11/2014 12:10:01,      0.660
